text,font_size,font_name,y_coord,page,source_pdf,label
THE CENTRE FOR HUMANITARIAN DATA,8,SourceSansPro-Regular,791.6342163,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
1,8,OpenSans-Regular,791.6113281,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Dec-20,8,SourceSansPro-Regular,791.673584,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"1      Because there are well-established and accepted standards and mechanisms for sharing financial information with donors, including a role for external",4.518199921,Stag-Medium,738.0482788,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"audits, requests for financial data are not included in this guidance note. This guidance note deals with sensitive personal and non-personal data.",7.5,Stag-Book,746.9102173,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"2     Roepstorff, K., Faltas, C. and HÃ¶velmann, S., 2020.  Counterterrorism Measures and Sanction Regimes: Shrinking Space for Humanitarian Aid",4.518199921,Stag-Medium,759.0482788,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Organisations .,7.5,Stag-Medium,768.1202393,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
THE CENTRE FOR HUMANITARIAN DATA,14,BrandonGrotesque-Bold,55.29532242,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,2
GUIDANCE NOTE SERIES,12,OpenSans-SemiBold,98.4322052,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
DATA RESPONSIBILITY IN HUMANITARIAN ACTION,12,OpenSans-SemiBold,116.4322052,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
RESPONSIBLE DATA SHARING WITH DONORS,19,OpenSans-Bold,142.709198,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,1
KEY TAKEAWAYS:,11,OpenSans-Bold,195.9963074,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
"â€¢	 Sharing sensitive personal and non-personal data without adequate safeguards can exacerbate",11,SourceSansPro-Regular,218.6892853,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"risks for crisis-affected people, humanitarian organizations and donors.",11,SourceSansPro-Regular,231.8892975,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Donors regularly request data from the organizations they fund in order to fulfil their obligations",11,SourceSansPro-Regular,256.0892944,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
and objectives. Some of these requests relate to sensitive information and data which needs to,11,SourceSansPro-Regular,269.2893066,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
be protected in order to mitigate risk.,11,SourceSansPro-Regular,282.4893188,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Common objectives for data sharing with donors include: (i) situational awareness and",11,SourceSansPro-Regular,306.6893311,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"programme design; (ii) accountability and transparency; and (iii) legal, regulatory, and policy",11,SourceSansPro-Regular,319.8893433,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
requirements.,11,SourceSansPro-Regular,333.0893555,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Common constraints related to sharing data with donors include: (i) lack of regulatory framework",11,SourceSansPro-Regular,359.4893494,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
for responsibly managing sensitive non-personal data; (ii) capacity gaps; and (iii) purpose,11,SourceSansPro-Regular,372.6893616,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
limitation.,11,SourceSansPro-Regular,385.8893738,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Donors and humanitarian organizations can take the following steps to minimize risks while",11,SourceSansPro-Regular,410.089386,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
maximizing benefits when sharing sensitive data: (i) reviewing and clarifying the formal or,11,SourceSansPro-Regular,423.2893982,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
informal frameworks that govern the collection and sharing of disaggregated data; (ii) formalizing,11,SourceSansPro-Regular,436.4894104,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
and standardising requests for sensitive data; (iii) investing in data management capacities of,11,SourceSansPro-Regular,449.6894226,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
staff and organisations; and (iv) adopting common principles for donor data management.,11,SourceSansPro-Regular,462.8894348,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
INTRODUCTION,11,OpenSans-Bold,509.5184631,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
"Donors have an important role in the humanitarian data ecosystem, both as drivers of increasedÂ data",11,SourceSansPro-Regular,534.2024536,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"collection and analysis, and as direct users of data. This is not a new phenomenon; the need for",11,SourceSansPro-Regular,547.4024048,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"accountability and transparency in the use of donor funding is broadly understood and respected. However,",11,SourceSansPro-Regular,560.602478,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"in recent years, donors have begun requesting data that can be sensitive. This includes personal data about",11,SourceSansPro-Regular,573.8024292,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"beneficiaries and various forms of disaggregated data, such as household-level survey results and data",11,SourceSansPro-Regular,587.0024414,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"about the delivery of assistance disaggregated by demographic and/or group dimensions (e.g. ethnicity,",11,SourceSansPro-Regular,600.2024536,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"protection group, etc.). 1",11,SourceSansPro-Regular,613.4024658,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Concerns around requests for such data have led donors and humanitarian organizations to place more,11,SourceSansPro-Regular,639.7958984,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"emphasis on identifying strategies for data responsibility: the safe, ethical and effective management",11,SourceSansPro-Regular,652.9959106,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
of data. Data responsibility requires donors and humanitarian organizations to take actions that help,11,SourceSansPro-Regular,666.1958618,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
minimize risks while maximizing benefits of data. This is particularly challenging in cases where donors,11,SourceSansPro-Regular,679.395874,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"request sensitive data. For example, the screening of aid recipients, which is often used to justify requests",11,SourceSansPro-Regular,692.5958862,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"for personal data, is not only difficult to practically implement, but also highly problematic in terms of",11,SourceSansPro-Regular,705.7958984,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
principled aid. 2,11,SourceSansPro-Regular,718.9959106,1,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
THE CENTRE FOR HUMANITARIAN DATA,8,SourceSansPro-Regular,791.6342163,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
2,8,OpenSans-Regular,791.6113281,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Dec-20,8,SourceSansPro-Regular,791.673584,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"3    Non-personal data is defined as data which was initially personal data, but later made anonymous, such as data about the people affected by the",4.518199921,Stag-Medium,654.1191406,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"humanitarian situation and their needs, the threats and vulnerabilities they face, and their capacities (adapted from  Regulation (EU)",7.5,Stag-Book,662.9811401,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
2018/1807 of the European Parliament and of the Council of 14 November 2018 on a framework for the free flow of non-personal data in the,7.5,Stag-Medium,671.8911133,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
European Union ).,7.5,Stag-Medium,680.8911133,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
4    See the  Working Draft OCHA Guidelines for Data Responsibility  and the  ICRC Handbook on data protection in humanitarian action .,4.518199921,Stag-Medium,693.1191406,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
5    Read more about the virtual dialogue in this  Wilton Park Report .,4.518199921,Stag-Medium,705.1191406,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"6   Willits-King, B. and Spencer, A., 2020.  Responsible data-sharing with donors: accountability, transparency and data protection in principled",4.518199921,Stag-Medium,717.1191406,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
humanitarian action .,7.5,Stag-Medium,725.8911133,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"7    At the time of writing, only USAID and GIZ had publicly available guidelines on responsible data sharing. See USAID, 2019.  Considerations for using",4.518199921,Stag-Medium,738.1191406,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"data responsibly at USAID  and GIZ, 2018.  GIZâ€™s Responsible Data Principles .",7.5,Stag-Medium,746.8911133,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"8    Willits-King, B. and Spencer, A., 2020.  Responsible data-sharing with donors: accountability, transparency and data protection in principled",4.518199921,Stag-Medium,759.1191406,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
humanitarian action .,7.5,Stag-Medium,767.8911133,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"In addition, sharing seemingly innocuous data such as aggregated survey results can place already",11,SourceSansPro-Regular,45.22431564,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
vulnerable people and communities at greater risk. What may be initially considered non-personal data 3,11,SourceSansPro-Regular,58.42432785,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"can allow for re-identification of individuals, communities and demographic groups. Re-identification",11,SourceSansPro-Regular,71.62433624,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
occurs when data can be traced back or linked to an individual(s) or group(s) of individuals because it is not,11,SourceSansPro-Regular,84.82434845,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"adequately anonymized. This can result in a violation of data protection, privacy and other human rights",11,SourceSansPro-Regular,98.02436066,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
and can allow for targeting of individuals or groups with violence or other forms of harm. 4,11,SourceSansPro-Regular,111.2243729,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Many donors and humanitarian actors recognize the risks and benefits associated with sharing such,11,SourceSansPro-Regular,135.4243317,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"sensitive data, but the sector has yet to establish a common understanding of how to balance theseÂ risks",11,SourceSansPro-Regular,148.6243439,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"and benefits effectively. Recent efforts to address this issue have led to more clarity on current practices,",11,SourceSansPro-Regular,161.8243561,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"as well as on the objectives and constraints of data sharing. In September 2020, the Government of",11,SourceSansPro-Regular,175.0243683,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"Switzerland, the International Committee of the Red Cross (ICRC) and the United Nations Office for",11,SourceSansPro-Regular,188.2243805,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Coordination of Humanitarian Affairs (UN OCHA) Centre for Humanitarian Data (the Centre) organized a,11,SourceSansPro-Regular,201.4243927,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
virtual Wilton Park dialogue to help build common understanding on this issue. 5,11,SourceSansPro-Regular,214.6244049,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
This guidance note synthesizes the outcomes of this dialogue and a related desk review. 6  It describes the,11,SourceSansPro-Regular,241.0243683,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
challenges around sharing sensitive data with donors and offers initial recommendations for how donors,11,SourceSansPro-Regular,254.2243195,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
and humanitarian organizations can more effectively navigate this area.,11,SourceSansPro-Regular,267.4243164,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
DONOR REQUESTS FOR DATA,11,OpenSans-Bold,297.1573181,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,2
Donors regularly request data from their partners in order to fulfil different obligations and objectives.,11,SourceSansPro-Regular,321.8413086,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
These requests can be either formal or informal.,11,SourceSansPro-Regular,335.0413208,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Formal requests  tend to be included in grant agreements in relation to reporting criteria, and are",11,SourceSansPro-Bold,360.9903259,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
typically based on legal requirements such as compliance with counter-terrorism laws. Such requests,11,SourceSansPro-Regular,374.6413269,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"tend to be negotiated at the outset of a partnership or grant agreement, and are usually made in",11,SourceSansPro-Regular,387.8413391,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
writing and scheduled in advance.,11,SourceSansPro-Regular,401.0413513,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Informal requests  concern information or data that typically fall outside of the normal scope Â of",11,SourceSansPro-Bold,426.990387,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
"reporting. These ad-hoc requests often carry implicit value, meaning that while they are not",11,SourceSansPro-Regular,440.6413879,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"formallyÂ required, delivering this supplementary data is deemed beneficial for an organizationâ€™s",11,SourceSansPro-Regular,453.8414001,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
